--------------------not equal!  	subject num: S0014
--------------------not equal!  	subject num: S0027
--------------------not equal!  	subject num: S0034
--------------------not equal!  	subject num: S0036
--------------------not equal!  	subject num: S0040
--------------------not equal!  	subject num: S0046
--------------------not equal!  	subject num: S0049
--------------------not equal!  	subject num: S0053
--------------------not equal!  	subject num: S0056
--------------------not equal!  	subject num: S0076
--------------------not equal!  	subject num: S0092
--------------------not equal!  	subject num: S0099
--------------------lzg_mt_z5.0.nii.gz not found.  subject num: S0101
--------------------not equal!  	subject num: S0114
--------------------not equal!  	subject num: S0127
--------------------not equal!  	subject num: S0128
--------------------not equal!  	subject num: S0129
--------------------not equal!  	subject num: S0131
--------------------not equal!  	subject num: S0133
--------------------not equal!  	subject num: S0138
--------------------lzg_mt_z5.0.nii.gz not found.  subject num: S0151
--------------------not equal!  	subject num: S0152
--------------------not equal!  	subject num: S0155
--------------------not equal!  	subject num: S0161
--------------------not equal!  	subject num: S0171
--------------------not equal!  	subject num: S0172
--------------------not equal!  	subject num: S0182
--------------------not equal!  	subject num: S0190
--------------------not equal!  	subject num: S0191
--------------------not equal!  	subject num: S0193
--------------------not equal!  	subject num: S0196
--------------------not equal!  	subject num: S0201
--------------------not equal!  	subject num: S0218
--------------------not equal!  	subject num: S0219
--------------------not equal!  	subject num: S0220
--------------------not equal!  	subject num: S0230
--------------------not equal!  	subject num: S0236
--------------------not equal!  	subject num: S0237
--------------------not equal!  	subject num: S0239
--------------------not equal!  	subject num: S0246
--------------------not equal!  	subject num: S0247
--------------------not equal!  	subject num: S0250
--------------------not equal!  	subject num: S0262
--------------------not equal!  	subject num: S0264
--------------------not equal!  	subject num: S0267
--------------------not equal!  	subject num: S0270
--------------------not equal!  	subject num: S0271
--------------------not equal!  	subject num: S0275
--------------------not equal!  	subject num: S0278
--------------------not equal!  	subject num: S0280
--------------------not equal!  	subject num: S0282
--------------------not equal!  	subject num: S0286
--------------------not equal!  	subject num: S0287
--------------------not equal!  	subject num: S0288
--------------------not equal!  	subject num: S0294
--------------------not equal!  	subject num: S0296
--------------------not equal!  	subject num: S0303
--------------------not equal!  	subject num: S0305
--------------------not equal!  	subject num: S0311
--------------------not equal!  	subject num: S0312
--------------------not equal!  	subject num: S0314
--------------------not equal!  	subject num: S0317
--------------------not equal!  	subject num: S0318
--------------------lzg_mt_z5.0.nii.gz not found.  subject num: S0322
--------------------not equal!  	subject num: S0323
--------------------not equal!  	subject num: S0324
--------------------not equal!  	subject num: S0325
--------------------not equal!  	subject num: S0327
--------------------not equal!  	subject num: S0330
--------------------not equal!  	subject num: S0334
--------------------not equal!  	subject num: S0335
--------------------not equal!  	subject num: S0342
